longitude,latitude,sequential_number,district,address,street_address,lot_size,indication_use,building_structure,shape_category,width_ratio,depth_ratio,floor_above_ground,floor_underground,front_road_classification,direction_front_road,front_road_width,side_road_classification,directional_classification_side_road,proximity_traffic_facilities,current_status_land_surrounding_area,station_name,station_distance,purpose_classification,fire_prevention_category,urban_planning_classification,high_altitude_district,forestry_classification,park_classification,building_land_ratio,floor_area_ratio,percentage_change_previous_year,seireki,price
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2022,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2021,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2020,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2019,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2018,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2017,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2016,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2015,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2014,75000
142.193935,27.0949047,1,小笠原,東京都　小笠原村父島字東町２０番８,_,184,共同住宅,S,_,10,30,3,0,都道,南,170,_,_,_,スーパーと土産物店等が多い都道沿いの商業地域,青灯台入口,50,_,_,非線引,0,_,_,70,200,0,2013,73000
