longitude,latitude,sequential_number,district,address,street_address,lot_size,indication_use,building_structure,shape_category,width_ratio,depth_ratio,floor_above_ground,floor_underground,front_road_classification,direction_front_road,front_road_width,side_road_classification,directional_classification_side_road,proximity_traffic_facilities,current_status_land_surrounding_area,station_name,station_distance,purpose_classification,fire_prevention_category,urban_planning_classification,high_altitude_district,forestry_classification,park_classification,building_land_ratio,floor_area_ratio,percentage_change_previous_year,seireki,price
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2022,47200
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2021,46400
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2020,46400
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2019,44000
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2018,42000
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2017,41000
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2016,40500
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2015,40200
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2014,40200
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2013,40500
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2012,41200
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2011,42400
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2010,43500
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2009,45200
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2008,46000
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2007,45700
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2006,46800
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2005,50300
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2004,54700
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2003,58800
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2002,62900
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2001,65100
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,2000,65900
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1999,67000
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1998,69600
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1997,71800
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1996,71500
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1995,71400
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1994,70800
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1993,70100
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1992,69300
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1991,68300
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1990,65400
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1989,63500
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1988,61700
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1987,60200
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1986,58400
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1985,56500
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1984,54500
124.1623239,24.3371144,1,石垣,沖縄県　石垣市字登野城村内１０４番,_,265,_,RC,_,10,10,2,0,市道,南西,32,_,_,_,中規模一般住宅が多い既成住宅地域,裁判所前停,240,1住居,_,非線引,0,_,_,60,200,1.7,1983,52000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2022,147000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2021,148000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2020,149000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2019,139000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2018,131000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2017,124000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2016,123000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2015,122000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2014,121000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2013,122000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2012,125000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2011,129000
124.1580231,24.3394789,1,石垣,沖縄県　石垣市字大川中ノハカ２０７番３,_,242,_,RC,_,10,15,3,0,市道,南西,70,_,_,_,公設市場を中心に小売店舗が建ち並ぶ商業地域,東運輸バスターミナル,260,商業,_,非線引,0,_,_,80,400,-0.7,2010,134000
