index,lat1,lat2,lon1,lon2,score
0,24.0,24.4,123.8,124.2,0.8288799063685938
1,24.4,24.8,125.0,125.4,0.8097157652473448
2,24.8,25.2,125.0,125.4,0.8411443439724584
3,26.0,26.4,127.4,127.8,0.8031353691323372
4,26.0,26.4,127.8,128.2,0.8090553066866433
5,26.4,26.8,127.4,127.8,0.8003004974739466
6,26.4,26.8,127.8,128.2,0.8666916648491011
7,26.8,27.2,141.8,142.2,0.7985609369197244
8,26.8,27.2,142.2,142.6,0.8013896466040454
9,27.2,27.6,128.2,128.6,0.8228149102611996
10,27.2,27.6,128.6,129.0,0.8354439656850635
11,27.6,28.0,128.6,129.0,0.7877740254374453
12,27.6,28.0,129.0,129.4,0.8154623711872927
13,28.0,28.4,129.0,129.4,0.8318160136960171
14,28.0,28.4,129.4,129.8,0.8478055277279409
15,28.0,28.4,129.8,130.2,0.8152405955851789
16,28.4,28.8,129.4,129.8,0.8349896077642904
17,30.0,30.4,130.6,131.0,0.8225911350404181
18,30.4,30.8,130.2,130.6,0.8000828453406658
19,30.4,30.8,130.6,131.0,0.8347625214761139
20,30.8,31.2,130.2,130.6,0.8201336206392399
21,31.2,31.6,129.8,130.2,0.7875597800412212
22,31.2,31.6,130.2,130.6,0.8099360378912136
23,31.2,31.6,130.6,131.0,0.81280504112959
24,31.2,31.6,131.0,131.4,0.8225911350404181
25,31.6,32.0,130.2,130.6,0.811700377615109
26,31.6,32.0,130.6,131.0,0.8393160038354722
27,31.6,32.0,131.0,131.4,0.8648077941810165
28,31.6,32.0,131.4,131.8,0.8411443439724584
29,32.0,32.4,129.8,130.2,0.8029169460188232
30,32.0,32.4,130.2,130.6,0.8072967163794542
31,32.0,32.4,130.6,131.0,0.8259541627827867
32,32.0,32.4,131.0,131.4,0.804884894488827
33,32.0,32.4,131.4,131.8,0.8434353709722889
34,32.4,32.8,128.6,129.0,0.8429766669092974
35,32.4,32.8,129.4,129.8,0.8282038162472813
36,32.4,32.8,129.8,130.2,0.8322686447119415
37,32.4,32.8,130.2,130.6,0.8356712373512754
38,32.4,32.8,130.6,131.0,0.8393160038354722
39,32.4,32.8,131.0,131.4,0.8295565484045958
40,32.4,32.8,131.4,131.8,0.8650430538949043
41,32.4,32.8,132.6,133.0,0.8228149102611996
