index,lat1,lat2,lon1,lon2,score
42,32.8,33.2,129.0,129.4,0.8005182088166599
43,32.8,33.2,129.4,129.8,0.8533581061103089
44,32.8,33.2,129.8,130.2,0.8418309978738306
45,32.8,33.2,130.2,130.6,0.8331746457725924
46,32.8,33.2,130.6,131.0,0.833854793746176
47,32.8,33.2,131.0,131.4,0.8156842071205749
48,32.8,33.2,131.4,131.8,0.8361259661794215
49,32.8,33.2,131.8,132.2,0.8161280600462982
50,32.8,33.2,132.2,132.6,0.8429766669092974
51,32.8,33.2,132.6,133.0,0.8192418004981151
52,32.8,33.2,133.0,133.4,0.8070771615334117
53,32.8,33.2,139.4,139.8,0.8404582501521256
54,32.8,33.2,139.8,140.2,0.8473444469462004
55,33.2,33.6,129.0,129.4,0.8266284164376957
56,33.2,33.6,129.4,129.8,0.8669274370455051
57,33.2,33.6,129.8,130.2,0.8441238951146476
58,33.2,33.6,130.2,130.6,0.7963918025314143
59,33.2,33.6,130.6,131.0,0.7963918025314143
60,33.2,33.6,131.0,131.4,0.8022620330317105
61,33.2,33.6,131.4,131.8,0.8418309978738306
62,33.2,33.6,131.8,132.2,0.8243830422382443
63,33.2,33.6,132.2,132.6,0.8134685607223282
64,33.2,33.6,132.6,133.0,0.8163500770715775
65,33.2,33.6,133.0,133.4,0.7847798864074255
66,33.2,33.6,133.4,133.8,0.8046659955691287
67,33.2,33.6,133.8,134.2,0.804884894488827
68,33.2,33.6,134.2,134.6,0.8582464353899036
69,33.2,33.6,135.4,135.8,0.8397727159559923
70,33.2,33.6,135.8,136.2,0.8192418004981151
71,33.6,34.0,129.4,129.8,0.8413731663524519
72,33.6,34.0,130.2,130.6,0.8234866012406215
73,33.6,34.0,130.6,131.0,0.8659847329180383
74,33.6,34.0,131.0,131.4,0.7976925750948483
75,33.6,34.0,131.8,132.2,0.8420600070490882
76,33.6,34.0,132.2,132.6,0.8393160038354722
77,33.6,34.0,132.6,133.0,0.8482668594058642
78,33.6,34.0,133.0,133.4,0.8094955525094876
79,33.6,34.0,133.4,133.8,0.8584799101714605
80,33.6,34.0,134.2,134.6,0.8352167558283387
81,33.6,34.0,134.6,135.0,0.8250560133355765
82,33.6,34.0,135.0,135.4,0.797475632219991
83,33.6,34.0,135.4,135.8,0.8807125352426639
84,33.6,34.0,135.8,136.2,0.8404582501521256
85,34.0,34.4,129.0,129.4,0.8075163309525374
86,34.0,34.4,130.6,131.0,0.8167942923290995
87,34.0,34.4,131.0,131.4,0.795958683209974
88,34.0,34.4,131.4,131.8,0.8161280600462982
89,34.0,34.4,131.8,132.2,0.8552170351304802
90,34.0,34.4,132.2,132.6,0.8259541627827867
91,34.0,34.4,132.6,133.0,0.8011716982624874
92,34.0,34.4,133.0,133.4,0.7645529462204912
93,34.0,34.4,133.4,133.8,0.8097157652473448
94,34.0,34.4,133.8,134.2,0.8459627086139428
95,34.0,34.4,134.2,134.6,0.8395443288393083
96,34.0,34.4,134.6,135.0,0.8053228709902363
97,34.0,34.4,135.0,135.4,0.7807346059626585
98,34.0,34.4,135.4,135.8,0.8334013000998336
99,34.0,34.4,135.8,136.2,0.8255049659108599
100,34.0,34.4,136.2,136.6,0.8170164905942071
101,34.0,34.4,136.6,137.0,0.912411668367616
102,34.0,34.4,139.0,139.4,0.8508086745083926
103,34.0,34.4,139.4,139.8,0.8756962454039803
104,34.4,34.8,131.4,131.8,0.8250560133355765
105,34.4,34.8,131.8,132.2,0.8132473273629126
106,34.4,34.8,132.2,132.6,0.8372638710933779
107,34.4,34.8,132.6,133.0,0.8167942923290995
108,34.4,34.8,133.0,133.4,0.7892753760140673
109,34.4,34.8,133.4,133.8,0.849883498057781
110,34.4,34.8,133.8,134.2,0.8379473572366113
111,34.4,34.8,134.2,134.6,0.8179058882805801
112,34.4,34.8,134.6,135.0,0.7864894267455833
113,34.4,34.8,135.0,135.4,0.7976925750948483
114,34.4,34.8,135.4,135.8,0.8475749559835777
115,34.4,34.8,135.8,136.2,0.8141326219680184
116,34.4,34.8,136.2,136.6,0.8179058882805801
117,34.4,34.8,136.6,137.0,0.827303220508126
118,34.4,34.8,137.0,137.4,0.8345354969470079
119,34.4,34.8,137.4,137.8,0.8411443439724584
120,34.4,34.8,137.8,138.2,0.841602050980598
121,34.4,34.8,138.2,138.6,0.8814314899650553
122,34.4,34.8,138.6,139.0,0.882631052308909
123,34.4,34.8,139.0,139.4,0.8172387493054631
124,34.4,34.8,139.4,139.8,0.8884117153741655
125,34.8,35.2,131.8,132.2,0.8079557393448219
126,34.8,35.2,132.2,132.6,0.8361259661794215
127,34.8,35.2,132.6,133.0,0.8110383002712688
128,34.8,35.2,133.0,133.4,0.7809469946590336
129,34.8,35.2,133.4,133.8,0.8141326219680184
130,34.8,35.2,133.8,134.2,0.8103767629621769
131,34.8,35.2,134.2,134.6,0.8482668594058642
132,34.8,35.2,134.6,135.0,0.8257295338014361
133,34.8,35.2,135.0,135.4,0.8005182088166599
134,34.8,35.2,135.4,135.8,0.8356712373512754
135,34.8,35.2,135.8,136.2,0.8187962541582363
136,34.8,35.2,136.2,136.6,0.8266284164376957
137,34.8,35.2,136.6,137.0,0.8145756306017923
138,34.8,35.2,137.0,137.4,0.8097157652473448
139,34.8,35.2,137.4,137.8,0.8515032177218838
140,34.8,35.2,137.8,138.2,0.8081755331965325
141,34.8,35.2,138.2,138.6,0.827078224632974
142,34.8,35.2,138.6,139.0,0.8459627086139428
143,34.8,35.2,139.0,139.4,0.8219201744633708
144,34.8,35.2,139.4,139.8,0.8942302380472237
145,34.8,35.2,139.8,140.2,0.8598820932550392
146,34.8,35.2,140.2,140.6,0.8252804590944433
147,35.2,35.6,132.2,132.6,0.8575463919551908
148,35.2,35.6,132.6,133.0,0.8239346998234602
149,35.2,35.6,133.0,133.4,0.8072967163794542
150,35.2,35.6,133.4,133.8,0.8237106200613373
151,35.2,35.6,133.8,134.2,0.8248316286176544
152,35.2,35.6,134.2,134.6,0.8183509501296519
153,35.2,35.6,134.6,135.0,0.8018257211733267
154,35.2,35.6,135.0,135.4,0.841602050980598
155,35.2,35.6,135.4,135.8,0.8427474084364638
156,35.2,35.6,135.8,136.2,0.8044471561818398
157,35.2,35.6,136.2,136.6,0.7796735285947068
158,35.2,35.6,136.6,137.0,0.8329480530869445
159,35.2,35.6,137.0,137.4,0.7905645250872367
160,35.2,35.6,137.4,137.8,0.8737928020713902
161,35.2,35.6,137.8,138.2,0.8566138888544175
162,35.2,35.6,138.2,138.6,0.8464230375255405
163,35.2,35.6,138.6,139.0,0.8185735718632704
164,35.2,35.6,139.0,139.4,0.8313636288444025
165,35.2,35.6,139.4,139.8,0.8802335579171366
166,35.2,35.6,139.8,140.2,0.8799941669480309
167,35.2,35.6,140.2,140.6,0.8737928020713902
168,35.6,36.0,134.2,134.6,0.8464230375255405
169,35.6,36.0,134.6,135.0,0.8132473273629126
170,35.6,36.0,135.0,135.4,0.8480361621963486
171,35.6,36.0,135.8,136.2,0.8494212871675983
172,35.6,36.0,136.2,136.6,0.8145756306017923
173,35.6,36.0,136.6,137.0,0.8402296765954971
174,35.6,36.0,137.0,137.4,0.854287064991751
175,35.6,36.0,137.4,137.8,0.8286544816932072
176,35.6,36.0,137.8,138.2,0.8264036040842907
177,35.6,36.0,138.2,138.6,0.8699983185817765
178,35.6,36.0,138.6,139.0,0.8379473572366113
179,35.6,36.0,139.0,139.4,0.8187962541582363
180,35.6,36.0,139.4,139.8,0.848728442116495
181,35.6,36.0,139.8,140.2,0.8685796392830375
182,35.6,36.0,140.2,140.6,0.8986191245196918
183,35.6,36.0,140.6,141.0,0.879754841084414
184,36.0,36.4,133.0,133.4,0.7888461269758399
185,36.0,36.4,135.8,136.2,0.8141326219680184
186,36.0,36.4,136.2,136.6,0.8540547305089953
187,36.0,36.4,137.0,137.4,0.8011716982624874
188,36.0,36.4,137.8,138.2,0.8538224592126251
189,36.0,36.4,138.2,138.6,0.8626933338562434
190,36.0,36.4,138.6,139.0,0.8334013000998336
191,36.0,36.4,139.0,139.4,0.8528940055473834
192,36.0,36.4,139.4,139.8,0.8726052515779498
193,36.0,36.4,139.8,140.2,0.8785591877291108
194,36.0,36.4,140.2,140.6,0.8324950525733765
195,36.0,36.4,140.6,141.0,0.8086153002923961
196,36.4,36.8,136.2,136.6,0.8257295338014361
197,36.4,36.8,136.6,137.0,0.7972587483455712
198,36.4,36.8,137.0,137.4,0.8255049659108599
199,36.4,36.8,137.8,138.2,0.8094955525094876
200,36.4,36.8,138.2,138.6,0.8372638710933779
201,36.4,36.8,138.6,139.0,0.8471140005987551
202,36.4,36.8,139.0,139.4,0.8320422984250704
203,36.4,36.8,139.4,139.8,0.8374916378411887
204,36.4,36.8,139.8,140.2,0.8363534233749985
205,36.4,36.8,140.2,140.6,0.8083953868403019
206,36.4,36.8,140.6,141.0,0.8016076542356155
207,36.8,37.2,136.6,137.0,0.8643374666816608
208,36.8,37.2,137.0,137.4,0.8768880025088716
209,36.8,37.2,137.4,137.8,0.8293309397076034
210,36.8,37.2,137.8,138.2,0.7972587483455712
211,36.8,37.2,138.2,138.6,0.811479625136096
212,36.8,37.2,138.6,139.0,0.8250560133355765
213,36.8,37.2,139.4,139.8,0.8313636288444025
214,36.8,37.2,139.8,140.2,0.8179058882805801
215,36.8,37.2,140.2,140.6,0.8420600070490882
216,36.8,37.2,140.6,141.0,0.8064188551951146
217,37.2,37.6,136.6,137.0,0.8482668594058642
218,37.2,37.6,137.0,137.4,0.861755233927908
219,37.2,37.6,138.2,138.6,0.8101563704573906
220,37.2,37.6,138.6,139.0,0.8404582501521256
221,37.2,37.6,139.0,139.4,0.8300079499370124
222,37.2,37.6,139.4,139.8,0.8730800779758786
223,37.2,37.6,139.8,140.2,0.8707085269353394
224,37.2,37.6,140.2,140.6,0.8212497611668336
225,37.2,37.6,140.6,141.0,0.8203567273251876
226,37.2,37.6,141.0,141.4,0.8721306834153351
227,37.6,38.0,138.2,138.6,0.8413731663524519
228,37.6,38.0,138.6,139.0,0.8297822184755002
229,37.6,38.0,139.0,139.4,0.8190189970310248
230,37.6,38.0,139.4,139.8,0.8461928417673759
231,37.6,38.0,139.8,140.2,0.8250560133355765
232,37.6,38.0,140.2,140.6,0.8619896632324764
233,37.6,38.0,140.6,141.0,0.8526620499252692
234,38.0,38.4,138.2,138.6,0.8042283763107696
235,38.0,38.4,139.0,139.4,0.7875597800412212
236,38.0,38.4,139.4,139.8,0.8464230375255405
237,38.0,38.4,139.8,140.2,0.8234866012406215
238,38.0,38.4,140.2,140.6,0.8228149102611996
239,38.0,38.4,140.6,141.0,0.8589470502931865
240,38.0,38.4,141.0,141.4,0.8187962541582363
241,38.4,38.8,139.4,139.8,0.8429766669092974
242,38.4,38.8,139.8,140.2,0.8816712719391959
243,38.4,38.8,140.2,140.6,0.8436648165963837
244,38.4,38.8,140.6,141.0,0.8143540961603184
245,38.4,38.8,141.0,141.4,0.8361259661794215
246,38.4,38.8,141.4,141.8,0.8709453918668362
247,38.8,39.2,139.8,140.2,0.8778425758493342
248,38.8,39.2,140.2,140.6,0.8466532959054675
249,38.8,39.2,140.6,141.0,0.8413731663524519
250,38.8,39.2,141.0,141.4,0.811479625136096
251,38.8,39.2,141.4,141.8,0.8459627086139428
252,39.2,39.6,139.8,140.2,0.848728442116495
253,39.2,39.6,140.2,140.6,0.8409155838236885
254,39.2,39.6,141.0,141.4,0.8432059877489171
255,39.2,39.6,141.4,141.8,0.8756962454039803
256,39.2,39.6,141.8,142.2,0.8436648165963837
257,39.6,40.0,139.8,140.2,0.8221437671580528
258,39.6,40.0,140.2,140.6,0.8434353709722889
259,39.6,40.0,140.6,141.0,0.8438943246381766
260,39.6,40.0,141.0,141.4,0.8241588405435682
261,39.6,40.0,141.4,141.8,0.8594144446082732
262,39.6,40.0,141.8,142.2,0.8478055277279409
263,40.0,40.4,139.8,140.2,0.827078224632974
264,40.0,40.4,140.2,140.6,0.83158979050804
265,40.0,40.4,140.6,141.0,0.848728442116495
266,40.0,40.4,141.0,141.4,0.8468836169241923
267,40.0,40.4,141.4,141.8,0.8591807156679167
268,40.0,40.4,141.8,142.2,0.8246073049240756
269,40.4,40.8,140.2,140.6,0.8427474084364638
270,40.4,40.8,140.6,141.0,0.8243830422382443
271,40.4,40.8,141.0,141.4,0.8057610858156805
272,40.4,40.8,141.4,141.8,0.8489593276517601
273,40.8,41.2,140.2,140.6,0.8203567273251876
274,40.8,41.2,140.6,141.0,0.8716563733475927
275,40.8,41.2,141.0,141.4,0.8119211901469633
276,41.2,41.6,140.2,140.6,0.8187962541582363
277,41.2,41.6,141.0,141.4,0.8491902759964324
278,41.6,42.0,139.8,140.2,0.8259541627827867
279,41.6,42.0,140.2,140.6,0.8471140005987551
280,41.6,42.0,140.6,141.0,0.8491902759964324
281,42.0,42.4,140.2,140.6,0.8225911350404181
282,42.0,42.4,140.6,141.0,0.8352167558283387
283,42.0,42.4,141.0,141.4,0.8349896077642904
284,42.0,42.4,142.2,142.6,0.8445832234395667
285,42.0,42.4,142.6,143.0,0.8275282775904799
286,42.0,42.4,143.0,143.4,0.8365809424473476
287,42.4,42.8,139.8,140.2,0.8681072604579574
288,42.4,42.8,140.2,140.6,0.8867217887887314
289,42.4,42.8,140.6,141.0,0.8838322471674087
290,42.4,42.8,141.0,141.4,0.8018257211733267
291,42.4,42.8,141.4,141.8,0.8664559567740135
292,42.4,42.8,141.8,142.2,0.8580130241048514
293,42.4,42.8,143.0,143.4,0.8286544816932072
294,42.8,43.2,140.2,140.6,0.8549844477302452
295,42.8,43.2,140.6,141.0,0.8489593276517601
296,42.8,43.2,141.0,141.4,0.8159061034014378
297,42.8,43.2,141.4,141.8,0.8655137653381274
298,42.8,43.2,141.8,142.2,0.8494212871675983
299,42.8,43.2,142.6,143.0,0.8429766669092974
300,42.8,43.2,143.0,143.4,0.8234866012406215
301,42.8,43.2,143.4,143.8,0.8610523284814477
302,42.8,43.2,143.8,144.2,0.8459627086139428
303,42.8,43.2,144.2,144.6,0.8284291183249942
304,42.8,43.2,144.6,145.0,0.8733175880569948
305,43.2,43.6,140.6,141.0,0.8208031227934112
306,43.2,43.6,141.0,141.4,0.8097157652473448
307,43.2,43.6,141.4,141.8,0.8343085341601767
308,43.2,43.6,141.8,142.2,0.8139112080085067
309,43.2,43.6,142.2,142.6,0.8345354969470079
310,43.2,43.6,143.4,143.8,0.8799941669480309
311,43.2,43.6,144.2,144.6,0.8610523284814477
312,43.2,43.6,144.6,145.0,0.8445832234395667
313,43.2,43.6,145.4,145.8,0.8629280183586977
314,43.6,44.0,141.4,141.8,0.853126024270008
315,43.6,44.0,141.8,142.2,0.8459627086139428
316,43.6,44.0,142.2,142.6,0.830459597098668
317,43.6,44.0,142.6,143.0,0.8714193150554315
318,43.6,44.0,143.4,143.8,0.8496523611823493
319,43.6,44.0,143.8,144.2,0.8501146978109937
320,43.6,44.0,144.2,144.6,0.8648077941810165
321,43.6,44.0,144.6,145.0,0.8491902759964324
322,44.0,44.4,141.4,141.8,0.8577796762990351
323,44.0,44.4,142.2,142.6,0.8422890785233138
324,44.0,44.4,142.6,143.0,0.8152405955851789
325,44.0,44.4,143.0,143.4,0.841602050980598
326,44.0,44.4,143.4,143.8,0.8619896632324764
327,44.0,44.4,144.2,144.6,0.8199105746300585
328,44.4,44.8,142.2,142.6,0.8361259661794215
329,44.4,44.8,142.6,143.0,0.8400011652024214
330,44.4,44.8,143.0,143.4,0.8561480176273434
331,44.8,45.2,142.2,142.6,0.8461928417673759
332,45.2,45.6,141.4,141.8,0.8785591877291108
