scores,lat1,lat2,lon1,lon2
114.4358837167826,34.776,34.784,135.528,135.536
118.06171763904744,34.776,34.784,135.536,135.544
121.49740800951436,34.776,34.784,135.544,135.552
119.98529905103284,34.776,34.784,135.552,135.56
120.22597342943962,34.776,34.784,135.56,135.568
120.88497371482926,34.776,34.784,135.568,135.576
120.90338715949326,34.776,34.784,135.576,135.584
119.10607262523531,34.776,34.784,135.584,135.592
116.1940891095906,34.776,34.784,135.592,135.6
114.78811830040036,34.776,34.784,135.6,135.608
113.71070718322783,34.776,34.784,135.608,135.616
112.21124703178329,34.776,34.784,135.616,135.624
111.53101298108547,34.776,34.784,135.624,135.632
108.44016454627538,34.776,34.784,135.632,135.64
105.50735747732077,34.776,34.784,135.64,135.648
103.2691020111117,34.776,34.784,135.648,135.656
101.24234082397004,34.776,34.784,135.656,135.664
100.98357058972894,34.776,34.784,135.664,135.672
101.70353424923009,34.776,34.784,135.672,135.68
100.55194212516467,34.776,34.784,135.68,135.688
99.20395617303564,34.776,34.784,135.688,135.696
97.54305041136253,34.776,34.784,135.696,135.704
96.13252362582753,34.776,34.784,135.704,135.712
95.05263674089875,34.776,34.784,135.712,135.72
94.74452348233773,34.776,34.784,135.72,135.728
95.06011985018726,34.776,34.784,135.728,135.736
94.46478138282204,34.776,34.784,135.736,135.744
93.94914454618103,34.776,34.784,135.744,135.752
92.12904528022607,34.776,34.784,135.752,135.76
88.758494328133,34.776,34.784,135.76,135.768
85.58845165516199,34.776,34.784,135.768,135.776
76.10190854246564,34.776,34.784,135.776,135.784
58.740034777956126,34.776,34.784,135.784,135.792
33.90121722846442,34.776,34.784,135.792,135.8
114.63380044607162,34.768,34.776,135.4,135.408
121.00139360682867,34.768,34.776,135.408,135.416
127.68572966426697,34.768,34.776,135.416,135.424
128.76810576453346,34.768,34.776,135.424,135.432
124.43279441844827,34.768,34.776,135.432,135.44
121.17018382194671,34.768,34.776,135.44,135.448
115.33400556996062,34.768,34.776,135.448,135.456
109.56441649133802,34.768,34.776,135.456,135.464
106.53156918338058,34.768,34.776,135.464,135.472
105.06101775241405,34.768,34.776,135.472,135.48
103.3153284308236,34.768,34.776,135.48,135.488
105.1620203519186,34.768,34.776,135.488,135.496
107.10543994894275,34.768,34.776,135.496,135.504
105.85032578409279,34.768,34.776,135.504,135.512
108.41354217554144,34.768,34.776,135.512,135.52
111.59278175008512,34.768,34.776,135.52,135.528
113.93143222279747,34.768,34.776,135.528,135.536
111.42019608106355,34.768,34.776,135.536,135.544
111.93942916182358,34.768,34.776,135.544,135.552
113.56166103211693,34.768,34.776,135.552,135.56
113.0824449694019,34.768,34.776,135.56,135.568
113.67610903466445,34.768,34.776,135.568,135.576
112.32920005371771,34.768,34.776,135.576,135.584
110.29131937679057,34.768,34.776,135.584,135.592
109.9018453823477,34.768,34.776,135.592,135.6
113.7303404711502,34.768,34.776,135.6,135.608
114.37169816288515,34.768,34.776,135.608,135.616
111.96986473995464,34.768,34.776,135.616,135.624
105.78219963634669,34.768,34.776,135.624,135.632
103.2940781570207,34.768,34.776,135.632,135.64
101.95821155149223,34.768,34.776,135.64,135.648
101.39725579991836,34.768,34.776,135.648,135.656
102.31601872659176,34.768,34.776,135.656,135.664
102.37556735225037,34.768,34.776,135.664,135.672
101.01795562071595,34.768,34.776,135.672,135.68
99.42848150496154,34.768,34.776,135.68,135.688
98.59228502931747,34.768,34.776,135.688,135.696
98.35197173892745,34.768,34.776,135.696,135.704
96.97239582455963,34.768,34.776,135.704,135.712
96.26918479560125,34.768,34.776,135.712,135.72
95.91395198447984,34.768,34.776,135.72,135.728
95.84686891385768,34.768,34.776,135.728,135.736
95.69415477843707,34.768,34.776,135.736,135.744
93.92935886696898,34.768,34.776,135.744,135.752
81.99523425059992,34.768,34.776,135.752,135.76
72.7392692587503,34.768,34.776,135.76,135.768
61.566634755882504,34.768,34.776,135.768,135.776
47.59940792572159,34.768,34.776,135.776,135.784
28.506888710540395,34.768,34.776,135.784,135.792
18.20813269127876,34.768,34.776,135.792,135.8
111.14818204772125,34.76,34.768,135.4,135.408
117.78472102179967,34.76,34.768,135.408,135.416
119.18788571023809,34.76,34.768,135.416,135.424
122.0546472270712,34.76,34.768,135.424,135.432
120.33772834976688,34.76,34.768,135.432,135.44
118.6410140949767,34.76,34.768,135.44,135.448
118.03183184394732,34.76,34.768,135.448,135.456
116.6539477936843,34.76,34.768,135.456,135.464
114.20941971573994,34.76,34.768,135.464,135.472
115.52585863415412,34.76,34.768,135.472,135.48
114.56086548832772,34.76,34.768,135.48,135.488
112.00397778638771,34.76,34.768,135.488,135.496
112.13866571798445,34.76,34.768,135.496,135.504
115.10300098361895,34.76,34.768,135.504,135.512
117.41790035183294,34.76,34.768,135.512,135.52
116.61592828521972,34.76,34.768,135.52,135.528
114.73081993920155,34.76,34.768,135.528,135.536
115.05380558319379,34.76,34.768,135.536,135.544
114.91390063775859,34.76,34.768,135.544,135.552
114.16020759549053,34.76,34.768,135.552,135.56
113.86770557271247,34.76,34.768,135.56,135.568
112.36539113843544,34.76,34.768,135.568,135.576
112.24987064431126,34.76,34.768,135.576,135.584
111.55914246499772,34.76,34.768,135.584,135.592
111.19835980885962,34.76,34.768,135.592,135.6
109.18618282051041,34.76,34.768,135.6,135.608
106.03218470799031,34.76,34.768,135.608,135.616
99.31165804648951,34.76,34.768,135.616,135.624
96.88345071933405,34.76,34.768,135.624,135.632
94.807125741194,34.76,34.768,135.632,135.64
94.16435913254247,34.76,34.768,135.64,135.648
94.91059161829703,34.76,34.768,135.648,135.656
94.34398127340825,34.76,34.768,135.656,135.664
92.86913207008189,34.76,34.768,135.664,135.672
91.72897629369362,34.76,34.768,135.672,135.68
90.75156354676702,34.76,34.768,135.68,135.688
89.73649904200725,34.76,34.768,135.688,135.696
88.56242543081535,34.76,34.768,135.696,135.704
86.03059706102005,34.76,34.768,135.704,135.712
84.00511226760331,34.76,34.768,135.712,135.72
83.09551235416161,34.76,34.768,135.72,135.728
79.02340074906367,34.76,34.768,135.728,135.736
74.44818415183268,34.76,34.768,135.736,135.744
71.0825510528292,34.76,34.768,135.744,135.752
66.43997398461504,34.76,34.768,135.752,135.76
60.04509201627462,34.76,34.768,135.76,135.768
51.061470247392556,34.76,34.768,135.768,135.776
45.246652761891944,34.76,34.768,135.776,135.784
32.49759229534511,34.76,34.768,135.784,135.792
20.221642589620117,34.76,34.768,135.792,135.8
116.37682952489163,34.752,34.76,135.4,135.408
115.84501888297248,34.752,34.76,135.408,135.416
118.22190279728464,34.752,34.76,135.416,135.424
119.4229740297156,34.752,34.76,135.424,135.432
118.24437070242507,34.752,34.76,135.432,135.44
116.57818428432648,34.752,34.76,135.44,135.448
116.82215535534142,34.752,34.76,135.448,135.456
117.39387530293016,34.752,34.76,135.456,135.464
117.14781663173487,34.752,34.76,135.464,135.472
116.15475133994154,34.752,34.76,135.472,135.48
116.4978104292711,34.752,34.76,135.48,135.488
115.45443502746873,34.752,34.76,135.488,135.496
114.62300518684584,34.752,34.76,135.496,135.504
111.92273846114604,34.752,34.76,135.504,135.512
111.24236389414763,34.752,34.76,135.512,135.52
111.5329058613442,34.752,34.76,135.52,135.528
110.84314713641587,34.752,34.76,135.528,135.536
110.34432575044741,34.752,34.76,135.536,135.544
110.10368599365297,34.752,34.76,135.544,135.552
110.85293914030751,34.752,34.76,135.552,135.56
110.47849045195747,34.752,34.76,135.56,135.568
110.46277336097502,34.752,34.76,135.568,135.576
