longitude,latitude,sequential_number,district,address,street_address,lot_size,indication_use,building_structure,shape_category,width_ratio,depth_ratio,floor_above_ground,floor_underground,front_road_classification,direction_front_road,front_road_width,side_road_classification,directional_classification_side_road,proximity_traffic_facilities,current_status_land_surrounding_area,station_name,station_distance,purpose_classification,fire_prevention_category,urban_planning_classification,high_altitude_district,forestry_classification,park_classification,building_land_ratio,floor_area_ratio,percentage_change_previous_year,seireki,price
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2022,11600
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2021,12000
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2020,12400
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2019,12900
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2018,13500
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2017,14100
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2016,14800
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2015,15500
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2014,16300
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2013,17000
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2012,17600
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2011,18300
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2010,18900
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2009,19500
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2008,20000
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2007,20500
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2006,21100
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2005,21500
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2004,22000
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2003,22500
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2002,0
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2001,0
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,2000,0
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,1999,0
128.5754031,27.33534,1,知名,鹿児島県　大島郡知名町大字瀬利覚字小米原２２５３番１内,_,450,_,W,_,30,10,1,0,町道,南,55,_,_,_,中規模一般住宅の中に農地が見られる住宅地域,徳洲会病院前停,150,1住居,_,非線引,0,_,_,60,200,-3.3,1998,0
