longitude,latitude,sequential_number,district,address,street_address,lot_size,indication_use,building_structure,shape_category,width_ratio,depth_ratio,floor_above_ground,floor_underground,front_road_classification,direction_front_road,front_road_width,side_road_classification,directional_classification_side_road,proximity_traffic_facilities,current_status_land_surrounding_area,station_name,station_distance,purpose_classification,fire_prevention_category,urban_planning_classification,high_altitude_district,forestry_classification,park_classification,building_land_ratio,floor_area_ratio,percentage_change_previous_year,seireki,price
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2022,5900
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2021,5900
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2020,6000
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2019,6000
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2018,6000
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2017,6000
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2016,6000
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2015,6100
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2014,6200
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2013,6300
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2012,6700
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2011,7200
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2010,7800
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2009,8200
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2008,8300
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2007,8300
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2006,8300
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2005,8300
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2004,8300
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2003,8300
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2002,8300
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2001,8400
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,2000,8400
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1999,8400
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1998,8400
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1997,8400
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1996,8400
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1995,8400
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1994,8400
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1993,0
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1992,0
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1991,0
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1990,0
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1989,0
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1988,0
139.8122769,33.0652539,2,八丈,東京都　八丈町中之郷１６８２番,_,1055,_,W,_,10,10,1,0,町道,西,60,_,_,_,一般住宅が多い南向き緩傾斜の住宅地域,中之郷出張所前停,120,_,_,非線引,0,_,_,70,200,0,1987,0
